"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
,"5",,"32775","2","0",,"36028797018963968","1128","Firefox Default Browser Agent",,"Application",,,"ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 4:31:29 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Successfully scheduled Software Protection service for re-start at 2025-05-30T03:23:17Z. Reason: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","1127","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 3:47:17 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Offline downlevel migration succeeded.","16394","0","49152","4","0","0","36028797018963968","1126","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 3:46:46 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"DFSRs (2932,D,0) \\.\C:\System Volume Information\DFSR\database_58FA_778B_FA77_63E2\dfsr.db: Online defragmentation has completed a full pass on database '\\.\C:\System Volume Information\DFSR\database_58FA_778B_FA77_63E2\dfsr.db', freeing 0 pages. This pass started on 5/29/2025 and ran for a total of 0 seconds, requiring 1 invocations over 1 days. Since the database was created it has been fully defragmented 4 times.","701",,"0","4","10",,"36028797018963968","1125","ESENT",,"Application",,,"ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 12:00:01 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Online Defragmentation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"DFSRs (2932,D,0) \\.\C:\System Volume Information\DFSR\database_58FA_778B_FA77_63E2\dfsr.db: Online defragmentation is beginning a full pass on database '\\.\C:\System Volume Information\DFSR\database_58FA_778B_FA77_63E2\dfsr.db'.","700",,"0","4","10",,"36028797018963968","1124","ESENT",,"Application",,,"ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 12:00:01 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Online Defragmentation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Successfully scheduled Software Protection service for re-start at 2025-05-30T03:22:55Z. Reason: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","1123","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/28/2025 10:24:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Offline downlevel migration succeeded.","16394","0","49152","4","0","0","36028797018963968","1122","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/28/2025 10:24:28 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Successfully scheduled Software Protection service for re-start at 2025-05-30T03:23:21Z. Reason: RulesEngine.","16384","0","16384","4","0","0","36028797018963968","1121","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/28/2025 10:24:21 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"License Activation (slui.exe) failed with the following error code:
hr=0x80004005
Command-line arguments:
RuleId=eeba1977-569e-4571-b639-7623d8bfecc0;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=de32eafd-aaee-4662-9444-c1befb41bde2;NotificationInterval=1440;Trigger=UserLogon;SessionId=1","8198","0","49152","2","0","0","36028797018963968","1120","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/28/2025 10:23:42 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 22105925-48c3-4ff4-a294-f654bb27e390, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: 281c216a-5957-439b-adf2-aff4098a2bdd, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 2e7a9ad1-a849-4b56-babe-17d5a29fe4b4, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 3c006fa7-3b03-45a4-93da-63ddc1bdce11, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
5: 4285bbda-6219-4c1a-98e9-859e60d669fb, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
6: 44a5b4c3-e4b1-483b-81e8-0f78f4d98283, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
7: 661f7658-7035-4b4c-9f35-010682943ec2, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
8: 6bad0243-1c35-46b2-b8e6-7a853e37413f, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
9: 82fcf64d-f9dd-4411-9c79-f2eed16d4eb8, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
10: 84e331f6-4279-48c4-ab10-b75139181351, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
11: 8ea56c31-fe6e-4d56-9d17-8dc1ab35dd8b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
12: 92114319-12ea-4bca-9d63-8740de9feff3, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
13: 9db83b52-9904-4326-8957-ebe6feedf37c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
14: c2d23e1f-ee3e-4533-9094-e6dc0b8aa049, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
15: d07edbd8-02cb-49b1-8358-f2de7afd8a4d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
16: de32eafd-aaee-4662-9444-c1befb41bde2, 1, 1 [(0 [0xC004E003, 0, 0], [( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)( 1 0x00000000)(?)( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)(?)(?)(?)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F056)])]
17: e73aabfa-12bc-4705-b551-2dd076bebc7d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
18: e936f630-5125-4a39-b1de-544d6c036491, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
19: fd946594-6f0d-4c5c-9bf7-f5f628ecd0b9, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

","1003","0","16384","4","0","0","36028797018963968","1119","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/28/2025 10:23:42 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Offline downlevel migration succeeded.","16394","0","49152","4","0","0","36028797018963968","1118","Microsoft-Windows-Security-SPP","e23b33b0-c8c9-472c-a5f9-f2bdfea0f156","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/28/2025 10:23:42 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.","6000","0","32768","4","0","0","36028797018963968","1117","Microsoft-Windows-Winlogon","dbe9b383-7cf3-4331-91cc-a3cb16a3b538","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/28/2025 10:23:41 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.","6003","0","32768","4","0","0","36028797018963968","1116","Microsoft-Windows-Winlogon","dbe9b383-7cf3-4331-91cc-a3cb16a3b538","Application","0","0","ServerDC2.ad.jasonsexperiments.com",,"5/28/2025 10:23:40 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
