"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Microsoft Passport service entered the stopped state.","7036","0","16384","4","0","0","-9187343239835811840","6580","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","4788","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 6:24:06 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Microsoft Passport Container service entered the running state.","7036","0","16384","4","0","0","-9187343239835811840","6579","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","4788","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 6:20:34 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Microsoft Passport service entered the running state.","7036","0","16384","4","0","0","-9187343239835811840","6578","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","392","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 6:20:34 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The PDC completed an automatic trust scan operation for all trusts with no errors.

More information can be found at https://go.microsoft.com/fwlink/?linkid=2162089.","6148","0",,"4","0","0","-9223372036854775808","6577","LsaSrv","199fe037-2b82-40a9-82ac-e1d46c792b99","System","624","2640","ServerDC2.ad.jasonsexperiments.com","S-1-5-18","5/29/2025 6:11:03 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Network Setup Service service entered the stopped state.","7036","0","16384","4","0","0","-9187343239835811840","6576","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","1336","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 6:01:29 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Network Setup Service service entered the running state.","7036","0","16384","4","0","0","-9187343239835811840","6575","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","1336","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 5:58:28 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Microsoft Passport Container service entered the stopped state.","7036","0","16384","4","0","0","-9187343239835811840","6574","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","2716","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 5:50:49 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Microsoft Passport service entered the stopped state.","7036","0","16384","4","0","0","-9187343239835811840","6573","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","1120","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 5:45:49 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Microsoft Passport Container service entered the running state.","7036","0","16384","4","0","0","-9187343239835811840","6572","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","1120","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 5:42:19 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Microsoft Passport service entered the running state.","7036","0","16384","4","0","0","-9187343239835811840","6571","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","1120","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 5:42:19 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Network Setup Service service entered the stopped state.","7036","0","16384","4","0","0","-9187343239835811840","6570","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","1060","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 5:01:29 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.","7036","0","16384","4","0","0","-9187343239835811840","6569","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","616","1060","ServerDC2.ad.jasonsexperiments.com",,"5/29/2025 4:58:47 AM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
